,UTC Gregorian,altitude (km)_x,x-coordinate,y-coordinate,z-coordinate,x velocity,y velocity,z velocity,radial (km),radial (m),altitude (km)_y,latitude (deg),longitude (deg),elevation (deg)
1630,2024-03-21 09:04:50.669,513.5008518256654,-586.8352162642747,-992.438403426216,395.6555338878048,-7.652962170873332,0.0008186472326565,-0.6582849487212443,1218.9556419899611,1218955.641989961,513.5008518256654,78.52780115152339,-87.21011884739156,81.16448243369172
1631,2024-03-21 09:06:53.205,513.2569083447042,-1516.281152495124,-974.9294105114418,253.028108261118,-7.493182341163591,0.2847307520009488,-1.665931322065847,1820.3348901952984,1820334.8901952985,513.2569083447042,81.89116452711278,-130.2026852736532,81.16034934762092
1674,2024-03-21 10:37:49.834,513.3709868462656,-393.7217043941207,-1561.837756730562,302.0666779307474,-7.151512961333355,2.793879000425314,0.2349717867760668,1638.7794960812403,1638779.4960812402,513.3709868462656,73.8608218458388,-95.38739745177908,81.16228263446575
1675,2024-03-21 10:39:54.131,513.6060835264252,-1272.94925010592,-1193.182707260753,268.7741449689982,-6.972575382616172,3.128838013220816,-0.7696326817550406,1765.3113910172165,1765311.3910172165,513.6060835264252,79.8347790641511,-118.9704276450457,81.16626417002576
1676,2024-03-21 10:41:58.092,513.1932157314232,-2119.170293813801,-787.6202361966052,111.9721249855048,-6.658328582520363,3.404088488988301,-1.756136785174636,2263.573751266576,2263573.751266576,513.1932157314232,81.73613169539145,-168.5564793928985,81.15926958467776
1718,2024-03-21 12:10:50.355,512.7572361507591,-584.8830418684076,-2352.926684832562,52.47766003056321,-5.656142458718017,5.026864321581556,1.325462302770896,2425.099185943675,2425099.1859436748,512.7572361507591,68.6909312288299,-110.5673614062454,81.1518715134534
1719,2024-03-21 12:12:55.997,513.4500156603199,-1281.845788921063,-1694.797524194248,157.694961721041,-5.419333376615552,5.432610751681597,0.3469877299500542,2130.8061797220826,2130806.1797220823,513.4500156603199,75.6835220076613,-123.5785130428249,81.16362144290422
1720,2024-03-21 12:14:59.044,513.5190799658212,-1928.880203345232,-1007.084553653255,141.0700258374909,-5.080455353633226,5.727873981738018,-0.6166269348154934,2180.5272044287613,2180527.2044287613,513.5190799658212,80.93832270640262,-153.3283257305769,81.16479111550676
1721,2024-03-21 12:17:00.930,512.9549505022223,-2522.711017296926,-296.5121530368127,8.259341284470338,-4.648372156465711,5.913588736530474,-1.559272650773742,2540.0902642245355,2540090.2642245353,512.9549505022223,81.1429060982901,155.1773494462063,81.15522801975946
1764,2024-03-21 13:47:34.489,513.3443618062911,-1980.442257668699,-1595.079047510433,7.558622021425037,-2.849953477714346,7.07846515320045,0.8817675118355335,2542.928594462209,2542928.594462209,513.3443618062911,76.02003788620524,-148.1986362362894,81.1618314953226
1765,2024-03-21 13:49:38.281,513.393174978426,-2305.906230203135,-703.8960243224453,58.26682460942419,-2.399479559816613,7.296587784876713,-0.0636739853927355,2411.6525824414766,2411652.5824414766,513.393174978426,81.13471703393664,-179.6426488282763,81.1626585589964
1810,2024-03-21 15:24:19.525,513.3298720844596,-2509.506715482637,-253.3960892528295,15.67091327526055,0.6815678244608802,7.630240332648553,0.5635008426594801,2522.3162193951734,2522316.2193951732,513.3298720844596,81.35553343290529,153.1165173041823,81.1615859598453
